,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,date,time_of_day
11930,0.0,0.0,1.0,0.0,3.0,0.0,4,2020-04-06,16:25:00
11931,0.0,0.0,0.0,0.0,1.0,0.0,4,2020-04-06,20:05:00
11932,0.0,0.0,-0.0,0.0,4.0,0.0,4,2020-04-06,16:45:00
11933,0.0,0.0,1.0,0.0,0.0,0.0,4,2020-04-06,16:35:00
11934,0.0,0.0,1.0,0.0,2.0,0.0,4,2020-04-06,17:10:00
11935,-0.0,-0.0,0.0,0.0,2.0,1.0,4,2020-04-06,18:05:00
11936,-0.0,0.0,1.0,0.0,2.0,0.0,4,2020-04-06,16:20:00
11937,1.0,-0.0,0.0,0.0,3.0,0.0,4,2020-04-06,17:35:00
11938,0.0,0.0,0.0,0.0,2.0,0.0,4,2020-04-06,18:40:00
11939,-0.0,0.0,1.0,0.0,2.0,1.0,4,2020-04-06,18:35:00
11940,-0.0,1.0,0.0,0.0,3.0,0.0,4,2020-04-06,17:45:00
11941,0.0,0.0,1.0,0.0,2.0,0.0,4,2020-04-06,18:35:00
11942,0.0,0.0,-0.0,0.0,2.0,0.0,4,2020-04-06,17:05:00
11943,0.0,1.0,0.0,0.0,1.0,0.0,4,2020-04-06,17:05:00
11944,0.0,1.0,0.0,0.0,1.0,0.0,4,2020-04-06,16:30:00
11945,-0.0,0.0,0.0,0.0,1.0,0.0,4,2020-04-06,16:45:00
11946,-0.0,0.0,0.0,0.0,4.0,1.0,4,2020-04-06,16:25:00
11947,0.0,-0.0,-0.0,0.0,1.0,1.0,4,2020-04-06,17:25:00
11948,0.0,1.0,1.0,0.0,1.0,0.0,4,2020-04-06,18:40:00
11949,-0.0,0.0,0.0,0.0,1.0,0.0,4,2020-04-06,16:10:00
11950,0.0,-0.0,0.0,0.0,1.0,0.0,4,2020-04-06,16:10:00
11951,0.0,1.0,0.0,7.0,3.0,0.0,4,2020-04-06,16:30:00
11952,0.0,-0.0,0.0,0.0,3.0,0.0,4,2020-04-06,18:15:00
11953,-0.0,1.0,-0.0,0.0,2.0,0.0,4,2020-04-06,16:25:00
11954,1.0,-0.0,0.0,0.0,2.0,0.0,4,2020-04-06,18:00:00
11955,0.0,1.0,1.0,0.0,2.0,1.0,4,2020-04-06,18:05:00
11956,2.0,0.0,0.0,0.0,2.0,0.0,4,2020-04-06,16:35:00
11957,1.0,0.0,-0.0,0.0,3.0,0.0,4,2020-04-06,16:45:00
11958,0.0,1.0,0.0,0.0,2.0,0.0,4,2020-04-06,18:05:00
11959,1.0,-0.0,-0.0,0.0,2.0,0.0,4,2020-04-06,16:20:00
11960,-0.0,0.0,2.0,0.0,2.0,1.0,4,2020-04-06,16:15:00
11961,0.0,0.0,-0.0,2.0,2.0,0.0,4,2020-04-06,16:30:00
11962,-0.0,-0.0,1.0,0.0,3.0,0.0,4,2020-04-06,17:30:00
11963,0.0,-0.0,0.0,0.0,2.0,0.0,4,2020-04-06,18:00:00
11964,-0.0,1.0,0.0,0.0,1.0,0.0,4,2020-04-06,16:05:00
23287,4.0,3.0,3.0,0.0,2.0,6.0,4,2020-04-08,12:55:00
23288,4.0,3.0,4.0,0.0,2.0,5.0,4,2020-04-08,12:15:00
23289,3.0,3.0,2.0,0.0,2.0,5.0,4,2020-04-08,09:25:00
23290,5.0,3.0,2.0,0.0,3.0,6.0,4,2020-04-08,08:55:00
23291,4.0,4.0,2.0,0.0,2.0,6.0,4,2020-04-08,09:00:00
23292,4.0,2.0,3.0,0.0,3.0,5.0,4,2020-04-08,12:20:00
23293,5.0,3.0,2.0,0.0,1.0,6.0,4,2020-04-08,10:30:00
23294,5.0,3.0,4.0,0.0,3.0,6.0,4,2020-04-08,10:00:00
23295,4.0,4.0,3.0,0.0,2.0,6.0,4,2020-04-08,09:30:00
23296,3.0,3.0,3.0,0.0,2.0,6.0,4,2020-04-08,08:55:00
23297,3.0,2.0,3.0,0.0,3.0,6.0,4,2020-04-08,13:20:00
23298,4.0,3.0,2.0,0.0,3.0,5.0,4,2020-04-08,10:30:00
23299,4.0,3.0,2.0,0.0,2.0,7.0,4,2020-04-08,10:05:00
23300,5.0,2.0,2.0,0.0,2.0,6.0,4,2020-04-08,09:40:00
23301,4.0,5.0,3.0,0.0,2.0,6.0,4,2020-04-08,11:50:00
23302,5.0,4.0,3.0,0.0,2.0,7.0,4,2020-04-08,10:00:00
23303,4.0,3.0,4.0,0.0,2.0,7.0,4,2020-04-08,12:35:00
23304,5.0,1.0,4.0,0.0,3.0,6.0,4,2020-04-08,12:30:00
23305,5.0,3.0,4.0,0.0,1.0,6.0,4,2020-04-08,09:05:00
23306,3.0,3.0,2.0,0.0,2.0,6.0,4,2020-04-08,08:45:00
23307,4.0,3.0,3.0,0.0,2.0,6.0,4,2020-04-08,11:30:00
23308,4.0,4.0,2.0,0.0,2.0,7.0,4,2020-04-08,11:55:00
23309,4.0,3.0,3.0,0.0,2.0,5.0,4,2020-04-08,11:10:00
