,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,date,time_of_day,hour
5920,10,9,10,5,10,0,COMMUNITY HOSPITAL,2020-04-07,0:30,0
6009,2,2,2,7,10,0,COMMUNITY HOSPITAL,2020-04-07,0:25,0
6188,6,9,4,8,1,0,COMMUNITY HOSPITAL,2020-04-07,0,0
6280,10,8,5,7,10,0,COMMUNITY HOSPITAL,2020-04-07,0:25,0
6335,6,0,7,0,6,0,COMMUNITY HOSPITAL,2020-04-07,0:10,0
6390,7,8,1,5,9,0,COMMUNITY HOSPITAL,2020-04-07,0:20,0
6757,5,10,8,1,2,0,GOLDCARE HOSPITAL,2020-04-07,0:55,0
6896,4,10,10,8,9,0,GOLDCARE HOSPITAL,2020-04-07,0,0
6936,10,9,7,7,5,0,GOLDCARE HOSPITAL,2020-04-07,0:30,0
9458,0,8,2,0,1,0,EAGLEPEAK HOSPITAL,2020-04-07,0:50,0
9528,5,7,0,4,4,0,EAGLEPEAK HOSPITAL,2020-04-07,0:05,0
9702,0,10,8,5,3,0,EAGLEPEAK HOSPITAL,2020-04-07,0:55,0
9747,9,9,7,3,9,0,EAGLEPEAK HOSPITAL,2020-04-07,0:25,0
11894,2,4,3,3,3,1,OLD TOWN HOSPITAL,2020-04-07,0:50,0
12057,0,1,0,0,0,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,0:15,0
158,5,8,3,8,3,0,HIMARK GENERAL ,2020-04-08,0:50,0
304,2,5,2,7,10,0,HIMARK GENERAL ,2020-04-08,0:50,0
1572,2,3,9,7,8,0,OLD TOWN HOSPITAL,2020-04-08,0:35,0
1585,4,3,10,0,1,0,OLD TOWN HOSPITAL,2020-04-08,0:45,0
1652,2,9,10,10,10,0,OLD TOWN HOSPITAL,2020-04-08,0:30,0
1861,6,3,9,5,1,0,OLD TOWN HOSPITAL,2020-04-08,0:05,0
2128,1,0,0,2,8,1,OLD TOWN HOSPITAL,2020-04-08,0:25,0
2281,1,2,2,1,4,0,OLD TOWN HOSPITAL,2020-04-08,0:30,0
2328,0,4,4,8,10,0,OLD TOWN HOSPITAL,2020-04-08,0:25,0
3082,2,8,9,8,8,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,0:45,0
3135,1,7,2,10,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,0:20,0
3386,2,2,3,8,7,1,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,0:10,0
3698,1,4,0,2,5,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,0:20,0
3878,10,7,9,10,7,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,0:45,0
4039,10,10,8,10,3,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,0:10,0
4055,7,3,4,10,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,0:30,0
4079,0,7,6,10,2,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,0:45,0
4127,0,8,4,4,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,0:45,0
5488,8,0,3,6,4,1,COMMUNITY HOSPITAL,2020-04-08,0:40,0
5501,4,7,8,4,1,0,COMMUNITY HOSPITAL,2020-04-08,0:55,0
5656,2,8,4,10,10,0,COMMUNITY HOSPITAL,2020-04-08,0:35,0
5889,6,5,5,2,3,0,COMMUNITY HOSPITAL,2020-04-08,0:45,0
6030,5,6,8,7,2,1,COMMUNITY HOSPITAL,2020-04-08,0:50,0
6048,7,8,9,7,5,0,COMMUNITY HOSPITAL,2020-04-08,0:25,0
6056,4,5,9,0,5,0,COMMUNITY HOSPITAL,2020-04-08,0:35,0
6110,9,1,1,6,7,0,COMMUNITY HOSPITAL,2020-04-08,0:05,0
6159,3,3,5,9,6,0,COMMUNITY HOSPITAL,2020-04-08,0:25,0
6338,10,2,0,7,0,0,COMMUNITY HOSPITAL,2020-04-08,0:10,0
6905,5,2,2,10,4,0,GOLDCARE HOSPITAL,2020-04-08,0:35,0
9439,2,1,8,2,2,0,EAGLEPEAK HOSPITAL,2020-04-08,0,0
2,7,10,10,9,10,0,HIMARK GENERAL ,2020-04-09,0:20,0
73,5,8,2,7,8,0,HIMARK GENERAL ,2020-04-09,0:35,0
125,7,5,2,0,10,0,HIMARK GENERAL ,2020-04-09,0:45,0
3027,2,9,0,3,2,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-09,0:50,0
3169,8,0,9,4,4,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-09,0:05,0
3320,6,10,4,10,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-09,0:20,0
3335,9,9,1,10,8,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-09,0:05,0
3578,1,0,1,10,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-09,0:45,0
3684,0,10,10,7,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-09,0:25,0
3869,0,10,5,9,5,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-09,0:25,0
3916,10,1,6,3,9,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-09,0:05,0
4132,7,10,9,3,3,1,TRAUMA & CHILDRENS HOSPITAl,2020-04-09,0:30,0
4168,8,6,9,4,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-09,0:15,0
4179,2,9,7,8,3,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-09,0:40,0
4187,8,10,2,9,2,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-09,0:45,0
5414,8,4,10,9,1,0,COMMUNITY HOSPITAL,2020-04-09,0:35,0
5558,5,0,0,4,3,0,COMMUNITY HOSPITAL,2020-04-09,0:45,0
5562,6,7,5,4,0,0,COMMUNITY HOSPITAL,2020-04-09,0:55,0
5748,4,0,6,7,8,0,COMMUNITY HOSPITAL,2020-04-09,0:35,0
5830,10,6,4,6,10,0,COMMUNITY HOSPITAL,2020-04-09,0,0
5901,8,8,2,6,10,0,COMMUNITY HOSPITAL,2020-04-09,0:40,0
5945,10,2,5,1,9,0,COMMUNITY HOSPITAL,2020-04-09,0:40,0
6129,9,10,8,3,6,0,COMMUNITY HOSPITAL,2020-04-09,0:35,0
6842,10,5,10,8,0,0,GOLDCARE HOSPITAL,2020-04-09,0:20,0
9452,1,8,10,2,0,0,EAGLEPEAK HOSPITAL,2020-04-09,0:05,0
9470,7,7,7,1,5,0,EAGLEPEAK HOSPITAL,2020-04-09,0:40,0
9562,10,8,6,4,8,0,EAGLEPEAK HOSPITAL,2020-04-09,0:40,0
9589,4,2,0,2,2,0,EAGLEPEAK HOSPITAL,2020-04-09,0:45,0
9600,10,8,10,9,7,0,EAGLEPEAK HOSPITAL,2020-04-09,0:55,0
9752,5,8,8,4,10,0,EAGLEPEAK HOSPITAL,2020-04-09,0:40,0
144,0,10,10,0,10,0,HIMARK GENERAL ,2020-04-10,0:45,0
156,9,6,10,2,7,0,HIMARK GENERAL ,2020-04-10,0:55,0
344,3,3,2,10,7,0,HIMARK GENERAL ,2020-04-10,0,0
3066,1,6,9,10,3,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:25,0
3072,0,10,3,3,1,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:35,0
3075,10,1,3,1,7,1,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0,0
3124,10,10,4,7,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:25,0
3415,0,2,7,0,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:55,0
3496,2,3,7,5,4,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:30,0
3516,4,10,4,7,7,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:20,0
3543,2,3,0,2,0,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:25,0
3743,2,7,8,2,5,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:30,0
3866,5,7,8,9,0,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:25,0
3915,9,4,10,10,0,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:55,0
4128,1,5,10,9,3,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:10,0
4242,8,7,8,5,0,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0,0
4261,10,5,3,5,3,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:55,0
4263,6,1,9,10,0,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-10,0:10,0
5647,10,9,10,6,7,0,COMMUNITY HOSPITAL,2020-04-10,0,0
5797,4,7,3,0,4,0,COMMUNITY HOSPITAL,2020-04-10,0:40,0
5969,1,7,1,0,3,0,COMMUNITY HOSPITAL,2020-04-10,0:10,0
5976,6,5,8,3,2,0,COMMUNITY HOSPITAL,2020-04-10,0:45,0
6043,7,7,3,0,10,0,COMMUNITY HOSPITAL,2020-04-10,0:55,0
6192,10,1,7,3,6,0,COMMUNITY HOSPITAL,2020-04-10,0:25,0
6351,10,1,5,5,10,0,COMMUNITY HOSPITAL,2020-04-10,0:05,0
6407,10,1,1,9,8,1,COMMUNITY HOSPITAL,2020-04-10,0:30,0
6812,1,3,9,10,3,0,GOLDCARE HOSPITAL,2020-04-10,0:10,0
71095,8,2,5,3,6,0,COMMUNITY HOSPITAL,2020-04-10,0:55,0
77949,7,5,6,4,3,0,EAGLEPEAK HOSPITAL,2020-04-10,0:50,0
78194,7,4,5,4,4,0,EAGLEPEAK HOSPITAL,2020-04-10,0:05,0
78261,7,4,5,4,4,0,EAGLEPEAK HOSPITAL,2020-04-10,0:10,0
78471,7,4,5,3,5,0,EAGLEPEAK HOSPITAL,2020-04-10,0:20,0
78501,7,4,6,3,4,0,EAGLEPEAK HOSPITAL,2020-04-10,0:10,0
78790,6,4,5,3,4,0,EAGLEPEAK HOSPITAL,2020-04-10,0:15,0
78950,6,4,5,5,5,0,EAGLEPEAK HOSPITAL,2020-04-10,0:30,0
80245,9,3,6,5,6,1,COMMUNITY HOSPITAL,2020-04-10,0,0
80581,9,2,6,5,6,1,COMMUNITY HOSPITAL,2020-04-10,0:20,0
80594,9,4,7,5,7,1,COMMUNITY HOSPITAL,2020-04-10,0,0
3761,7,7,8,10,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-11,0,0
166,5,0,6,3,6,1,HIMARK GENERAL ,2020-04-06,1:25,1
283,9,10,2,4,0,0,HIMARK GENERAL ,2020-04-06,1:35,1
309,10,7,6,7,3,0,HIMARK GENERAL ,2020-04-06,1:20,1
1523,0,3,0,10,8,0,OLD TOWN HOSPITAL,2020-04-06,1:40,1
1648,9,0,2,3,9,0,OLD TOWN HOSPITAL,2020-04-06,1:50,1
1702,10,0,5,1,5,0,OLD TOWN HOSPITAL,2020-04-06,1:45,1
1742,2,6,10,3,3,0,OLD TOWN HOSPITAL,2020-04-06,1:40,1
1764,5,10,7,6,5,0,OLD TOWN HOSPITAL,2020-04-06,1:30,1
1784,3,0,10,6,6,0,OLD TOWN HOSPITAL,2020-04-06,1:45,1
1785,0,8,8,10,8,0,OLD TOWN HOSPITAL,2020-04-06,1:10,1
2134,0,3,5,2,7,0,OLD TOWN HOSPITAL,2020-04-06,1,1
2166,9,5,10,4,9,0,OLD TOWN HOSPITAL,2020-04-06,1:50,1
2177,6,4,8,9,10,0,OLD TOWN HOSPITAL,2020-04-06,1:20,1
2184,1,3,2,0,3,0,OLD TOWN HOSPITAL,2020-04-06,1:10,1
2238,6,10,3,2,4,0,OLD TOWN HOSPITAL,2020-04-06,1:15,1
3030,2,6,4,6,7,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,1:15,1
3193,6,0,2,8,2,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,1:15,1
3234,7,2,3,6,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,1:05,1
3282,1,6,4,0,10,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,1,1
3406,10,10,10,7,2,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,1,1
3484,2,1,2,8,7,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,1:30,1
3629,9,1,8,10,7,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,1:10,1
3689,5,9,2,4,2,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,1:10,1
3967,6,3,10,7,2,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,1:35,1
4100,5,8,7,2,0,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-06,1:15,1
5403,10,2,1,9,9,0,COMMUNITY HOSPITAL,2020-04-06,1:55,1
5474,7,10,4,8,7,0,COMMUNITY HOSPITAL,2020-04-06,1,1
5559,1,6,4,10,6,0,COMMUNITY HOSPITAL,2020-04-06,1:10,1
5591,10,7,8,3,10,0,COMMUNITY HOSPITAL,2020-04-06,1:55,1
5641,4,1,6,7,10,0,COMMUNITY HOSPITAL,2020-04-06,1:50,1
5730,6,2,7,3,8,0,COMMUNITY HOSPITAL,2020-04-06,1:25,1
5751,0,7,2,2,4,0,COMMUNITY HOSPITAL,2020-04-06,1:20,1
5775,8,9,1,3,1,0,COMMUNITY HOSPITAL,2020-04-06,1:15,1
5800,7,9,10,0,1,0,COMMUNITY HOSPITAL,2020-04-06,1:05,1
5906,10,4,4,1,1,0,COMMUNITY HOSPITAL,2020-04-06,1,1
6106,1,0,3,4,1,0,COMMUNITY HOSPITAL,2020-04-06,1:55,1
6215,0,9,10,5,10,0,COMMUNITY HOSPITAL,2020-04-06,1:55,1
6811,10,0,7,6,6,0,GOLDCARE HOSPITAL,2020-04-06,1:20,1
6892,2,9,10,10,4,0,GOLDCARE HOSPITAL,2020-04-06,1:35,1
6939,10,4,2,6,7,0,GOLDCARE HOSPITAL,2020-04-06,1:30,1
6983,5,10,7,10,5,0,GOLDCARE HOSPITAL,2020-04-06,1:05,1
9662,10,2,9,10,6,0,EAGLEPEAK HOSPITAL,2020-04-06,1:10,1
9681,10,6,1,6,8,0,EAGLEPEAK HOSPITAL,2020-04-06,1:10,1
46,9,6,7,10,10,0,HIMARK GENERAL ,2020-04-07,1:15,1
54,10,5,7,10,6,0,HIMARK GENERAL ,2020-04-07,1:05,1
191,10,8,10,9,1,0,HIMARK GENERAL ,2020-04-07,1:10,1
227,3,5,9,9,10,0,HIMARK GENERAL ,2020-04-07,1:50,1
231,8,10,7,2,10,0,HIMARK GENERAL ,2020-04-07,1:35,1
1670,10,3,7,6,2,0,OLD TOWN HOSPITAL,2020-04-07,1:05,1
1820,0,8,7,2,10,0,OLD TOWN HOSPITAL,2020-04-07,1:55,1
1892,9,3,1,3,2,0,OLD TOWN HOSPITAL,2020-04-07,1:10,1
1978,0,3,10,7,7,0,OLD TOWN HOSPITAL,2020-04-07,1:35,1
2055,7,8,7,9,5,1,OLD TOWN HOSPITAL,2020-04-07,1,1
2106,9,4,10,4,7,0,OLD TOWN HOSPITAL,2020-04-07,1:25,1
2240,5,8,3,10,2,0,OLD TOWN HOSPITAL,2020-04-07,1:20,1
2259,10,8,4,10,3,0,OLD TOWN HOSPITAL,2020-04-07,1:20,1
3421,6,4,7,10,2,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,1:30,1
3457,10,6,0,10,8,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,1,1
3512,9,2,8,0,6,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,1:10,1
3918,10,6,9,5,4,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,1:45,1
4256,9,0,4,10,6,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,1:10,1
4258,10,2,7,7,9,1,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,1:30,1
5502,3,2,10,6,3,0,COMMUNITY HOSPITAL,2020-04-07,1:55,1
5903,4,3,5,3,3,0,COMMUNITY HOSPITAL,2020-04-07,1:05,1
5988,0,2,7,8,8,0,COMMUNITY HOSPITAL,2020-04-07,1:45,1
6105,4,10,2,10,10,0,COMMUNITY HOSPITAL,2020-04-07,1:05,1
6826,1,0,6,8,4,0,GOLDCARE HOSPITAL,2020-04-07,1:25,1
6845,0,8,0,5,3,0,GOLDCARE HOSPITAL,2020-04-07,1:30,1
6940,1,4,4,3,4,0,GOLDCARE HOSPITAL,2020-04-07,1:15,1
9541,4,5,7,3,2,0,EAGLEPEAK HOSPITAL,2020-04-07,1:05,1
9611,3,3,1,3,2,0,EAGLEPEAK HOSPITAL,2020-04-07,1:15,1
9634,10,7,10,9,6,0,EAGLEPEAK HOSPITAL,2020-04-07,1:45,1
9677,3,10,6,5,7,0,EAGLEPEAK HOSPITAL,2020-04-07,1:05,1
12106,1,0,0,1,1,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-07,1:55,1
29,8,3,6,9,5,0,HIMARK GENERAL ,2020-04-08,1:45,1
81,9,10,7,1,10,0,HIMARK GENERAL ,2020-04-08,1:45,1
1550,10,0,10,3,5,0,OLD TOWN HOSPITAL,2020-04-08,1:40,1
1778,5,6,8,7,1,0,OLD TOWN HOSPITAL,2020-04-08,1:30,1
1826,10,2,10,1,10,0,OLD TOWN HOSPITAL,2020-04-08,1:55,1
1859,9,10,1,10,1,0,OLD TOWN HOSPITAL,2020-04-08,1,1
1890,4,10,1,7,0,0,OLD TOWN HOSPITAL,2020-04-08,1:20,1
2040,1,9,7,10,0,0,OLD TOWN HOSPITAL,2020-04-08,1:20,1
3096,10,1,1,5,9,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,1:15,1
3217,10,2,9,4,4,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,1:35,1
3772,4,10,6,5,8,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,1,1
3886,10,6,2,10,0,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,1:30,1
3893,10,10,3,0,9,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,1:45,1
4153,6,3,9,10,5,0,TRAUMA & CHILDRENS HOSPITAl,2020-04-08,1:45,1
5614,10,3,7,7,2,0,COMMUNITY HOSPITAL,2020-04-08,1:25,1
5959,1,10,10,10,6,0,COMMUNITY HOSPITAL,2020-04-08,1,1
6016,8,10,3,5,0,0,COMMUNITY HOSPITAL,2020-04-08,1:30,1
6171,9,1,0,5,8,0,COMMUNITY HOSPITAL,2020-04-08,1:05,1
6216,0,3,7,7,5,0,COMMUNITY HOSPITAL,2020-04-08,1:10,1
6219,10,6,7,10,8,1,COMMUNITY HOSPITAL,2020-04-08,1:55,1
6830,10,10,3,9,0,1,GOLDCARE HOSPITAL,2020-04-08,1:40,1
6843,7,7,1,6,5,0,GOLDCARE HOSPITAL,2020-04-08,1:30,1
6855,8,8,2,4,3,0,GOLDCARE HOSPITAL,2020-04-08,1:35,1
6874,10,10,9,6,10,0,GOLDCARE HOSPITAL,2020-04-08,1:45,1
6891,5,8,2,3,10,0,GOLDCARE HOSPITAL,2020-04-08,1:50,1
9494,7,1,7,4,7,0,EAGLEPEAK HOSPITAL,2020-04-08,1:05,1
9513,2,2,10,5,2,0,EAGLEPEAK HOSPITAL,2020-04-08,1:20,1
9598,9,2,6,3,3,0,EAGLEPEAK HOSPITAL,2020-04-08,1:20,1
9744,5,7,10,10,3,0,EAGLEPEAK HOSPITAL,2020-04-08,1,1
36,6,4,4,3,3,1,HIMARK GENERAL ,2020-04-09,1:25,1
153,9,0,0,10,9,0,HIMARK GENERAL ,2020-04-09,1:50,1
185,8,2,2,3,7,0,HIMARK GENERAL ,2020-04-09,1:40,1
1507,9,2,9,6,4,1,OLD TOWN HOSPITAL,2020-04-09,1,1
1511,10,5,9,6,10,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1513,5,7,10,10,10,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1528,9,6,4,0,0,0,OLD TOWN HOSPITAL,2020-04-09,1:15,1
1531,1,1,9,5,0,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1535,2,2,5,3,2,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1537,10,10,4,5,5,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1576,10,8,10,3,6,1,OLD TOWN HOSPITAL,2020-04-09,1,1
1593,3,6,4,6,10,1,OLD TOWN HOSPITAL,2020-04-09,1,1
1594,6,1,0,9,10,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1597,7,9,2,5,6,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1600,9,6,7,7,5,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1603,8,10,6,10,7,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1610,8,0,10,10,7,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1611,9,6,8,5,2,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1621,7,3,6,3,10,0,OLD TOWN HOSPITAL,2020-04-09,1:50,1
1632,8,10,6,1,4,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1640,9,2,2,7,3,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1657,3,5,8,0,7,1,OLD TOWN HOSPITAL,2020-04-09,1,1
1664,2,0,3,0,7,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1711,10,10,4,10,2,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1716,10,6,6,4,7,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1717,2,10,6,2,8,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1721,10,2,5,10,2,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1729,8,6,6,9,0,1,OLD TOWN HOSPITAL,2020-04-09,1,1
1735,5,6,10,6,0,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1746,3,6,6,10,10,0,OLD TOWN HOSPITAL,2020-04-09,1:50,1
1758,10,2,4,4,9,1,OLD TOWN HOSPITAL,2020-04-09,1:35,1
1761,9,5,10,9,8,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1763,8,7,3,8,4,0,OLD TOWN HOSPITAL,2020-04-09,1:15,1
1767,5,9,0,10,5,0,OLD TOWN HOSPITAL,2020-04-09,1:25,1
1773,10,10,10,4,7,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1789,10,3,3,0,10,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1799,3,10,8,7,4,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1803,2,2,1,10,3,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1812,6,2,0,4,0,0,OLD TOWN HOSPITAL,2020-04-09,1:40,1
1831,10,4,1,7,5,1,OLD TOWN HOSPITAL,2020-04-09,1,1
1837,0,6,1,4,2,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1870,1,3,6,10,10,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1908,10,7,7,4,8,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1909,10,10,10,6,7,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1923,9,0,10,5,0,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1954,8,6,7,5,4,0,OLD TOWN HOSPITAL,2020-04-09,1,1
1982,10,8,3,10,5,0,OLD TOWN HOSPITAL,2020-04-09,1,1
