,location,date,hour,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
1096,12,2020-04-08,0,5.666666666666667,7.666666666666667,7.666666666666667,0.0,4.333333333333333,0.3333333333333333
1117,12,2020-04-10,0,2.1666666666666665,3.6666666666666665,2.6666666666666665,0.0,2.5,2.5
1129,12,2020-04-07,0,4.4,5.4,2.2,0.0,6.2,0.2
1150,12,2020-04-09,0,4.666666666666667,5.333333333333333,8.333333333333334,0.0,8.0,2.0
1156,12,2020-04-06,0,5.0,3.0,8.5,0.0,3.5,0.0
1180,13,2020-04-07,0,1.0,7.0,6.0,0.0,10.0,0.0
1203,13,2020-04-08,0,3.6666666666666665,4.666666666666667,7.0,0.0,8.0,0.0
1218,13,2020-04-11,0,4.0,9.0,7.0,0.0,7.0,0.0
1245,13,2020-04-10,0,6.666666666666667,8.333333333333334,8.0,0.0,10.0,0.0
1258,13,2020-04-09,0,5.5,7.5,5.5,0.0,3.0,0.0
1265,13,2020-04-06,0,10.0,1.0,4.0,0.0,3.0,0.0
1288,14,2020-04-09,0,6.714285714285714,4.428571428571429,5.857142857142857,0.0,5.571428571428571,0.14285714285714285
1297,14,2020-04-07,0,4.857142857142857,5.285714285714286,4.285714285714286,0.7142857142857143,4.714285714285714,0.14285714285714285
1324,14,2020-04-06,0,5.75,4.25,3.75,0.0,3.5,0.0
1385,14,2020-04-08,0,1.0,6.0,0.0,0.0,9.0,0.0
1389,15,2020-04-08,0,3.1,5.0,5.0,0.0,4.8,0.1
1417,15,2020-04-10,0,4.333333333333333,4.888888888888889,5.222222222222222,0.2222222222222222,3.5555555555555554,0.1111111111111111
1425,15,2020-04-07,0,5.5,8.0,5.5,0.7,5.4,0.0
1427,15,2020-04-06,0,6.7,4.8,6.0,0.0,4.7,0.1
1504,15,2020-04-09,0,4.4,5.9,5.4,0.0,2.7,0.1
1506,15,2020-04-11,0,5.0,1.0,3.0,0.0,2.0,0.0
1591,16,2020-04-08,0,2.0,1.0,8.0,2.0,2.0,0.0
1595,16,2020-04-09,0,6.166666666666667,6.833333333333333,6.833333333333333,3.6666666666666665,5.333333333333333,0.0
1598,16,2020-04-07,0,3.5,8.5,4.25,3.0,4.25,0.0
1624,16,2020-04-06,0,7.0,5.0,4.0,3.0,9.0,0.0
1991,16,2020-04-10,0,6.714285714285714,4.142857142857143,5.285714285714286,3.7142857142857144,4.142857142857143,0.0
1652,17,2020-04-07,0,6.666666666666667,3.3333333333333335,7.666666666666667,0.0,1.6666666666666667,0.3333333333333333
1657,17,2020-04-09,0,0.5,2.5,8.0,0.0,2.0,0.5
1674,17,2020-04-06,0,2.0,1.3333333333333333,3.6666666666666665,0.0,5.666666666666667,0.0
1696,17,2020-04-10,0,7.0,4.75,6.0,0.0,6.5,0.75
1748,18,2020-04-08,0,6.0,2.2,5.4,0.0,4.4,0.0
1754,18,2020-04-07,0,4.5,3.375,3.625,0.0,7.0,0.125
1759,18,2020-04-06,0,4.333333333333333,5.666666666666667,3.0,0.0,4.666666666666667,0.0
1764,18,2020-04-10,0,3.5,7.0,9.0,0.0,9.0,0.0
1792,18,2020-04-09,0,8.0,5.5,4.0,0.0,8.0,0.0
1810,18,2020-04-11,0,5.0,9.0,6.0,0.0,2.0,0.0
1841,19,2020-04-08,0,3.0,6.0,7.6,0.0,4.0,0.0
1842,19,2020-04-09,0,6.0,0.5,5.5,0.0,7.0,0.0
1844,19,2020-04-06,0,6.666666666666667,5.0,5.5,0.0,4.333333333333333,0.6666666666666666
1852,19,2020-04-10,0,8.0,4.2,3.8,0.0,5.0,0.0
1889,19,2020-04-07,0,5.625,6.0,3.75,0.0,5.125,0.125
26,1,2020-04-08,1,8.5,6.5,6.5,5.0,7.5,0.0
31,1,2020-04-09,1,7.666666666666667,2.0,2.0,5.333333333333333,6.333333333333333,0.3333333333333333
37,1,2020-04-07,1,8.0,6.8,8.0,8.0,7.4,0.0
71,1,2020-04-10,1,7.0,5.0,0.0,8.0,5.0,0.0
85,1,2020-04-06,1,8.0,5.666666666666667,4.666666666666667,4.666666666666667,3.0,0.3333333333333333
130,2,2020-04-06,1,6.333333333333333,2.7777777777777777,4.888888888888889,0.0,5.111111111111111,0.3333333333333333
144,2,2020-04-09,1,6.2,5.6,5.133333333333334,0.0,5.133333333333334,0.13333333333333333
161,2,2020-04-08,1,4.285714285714286,5.785714285714286,6.285714285714286,0.21428571428571427,5.357142857142857,0.0
178,2,2020-04-10,1,3.4285714285714284,5.142857142857143,2.857142857142857,0.0,5.285714285714286,0.0
234,2,2020-04-07,1,8.666666666666666,4.0,3.6666666666666665,0.0,4.666666666666667,0.3333333333333333
243,3,2020-04-09,1,6.809354120267261,8.666815144766147,6.789532293986637,7.805345211581292,5.82293986636971,4.165478841870824
254,3,2020-04-06,1,4.25,4.333333333333333,5.833333333333333,4.666666666666667,6.416666666666667,0.0
268,3,2020-04-08,1,6.5,6.166666666666667,6.166666666666667,6.333333333333333,2.8333333333333335,0.0
303,3,2020-04-07,1,6.25,5.625,6.125,6.375,4.75,0.125
373,4,2020-04-07,1,2.0,9.5,5.5,0.0,5.5,0.0
397,4,2020-04-08,1,3.5,3.5,9.0,0.0,5.5,0.0
411,4,2020-04-09,1,5.5,0.0,7.0,0.0,3.5,0.0
415,4,2020-04-10,1,6.0,9.0,10.0,0.0,5.0,0.0
475,5,2020-04-08,1,9.0,2.0,7.0,0.0,9.0,1.0
485,5,2020-04-10,1,4.333333333333333,6.0,3.6666666666666665,7.0,3.0,0.0
494,5,2020-04-06,1,5.5,5.0,2.5,4.5,7.5,0.0
510,5,2020-04-07,1,5.5,8.75,7.5,3.0,6.5,0.0
513,5,2020-04-09,1,5.285714285714286,6.857142857142857,5.142857142857143,5.714285714285714,5.571428571428571,0.2857142857142857
547,6,2020-04-06,1,5.3,4.6,5.2,5.8,4.9,0.0
593,6,2020-04-08,1,8.333333333333334,5.333333333333333,5.0,5.666666666666667,5.833333333333333,0.0
622,6,2020-04-09,1,4.181818181818182,4.909090909090909,5.181818181818182,3.909090909090909,4.0,0.09090909090909091
636,6,2020-04-10,1,8.0,3.6,3.6,5.6,4.0,0.0
650,6,2020-04-07,1,7.857142857142857,2.857142857142857,5.0,6.142857142857143,5.142857142857143,0.14285714285714285
675,8,2020-04-08,1,5.133333333333334,4.333333333333333,6.2,0.0,3.533333333333333,0.0
700,8,2020-04-07,1,5.0,6.0,5.777777777777778,0.0,5.111111111111111,0.2222222222222222
722,8,2020-04-06,1,6.545454545454546,4.181818181818182,5.181818181818182,0.0,7.7272727272727275,0.09090909090909091
776,9,2020-04-06,1,5.333333333333333,5.5,5.0,4.583333333333333,5.666666666666667,0.0
818,9,2020-04-10,1,6.090909090909091,2.6363636363636362,5.090909090909091,5.909090909090909,5.0,0.0
828,9,2020-04-07,1,2.75,4.25,6.0,6.75,6.0,0.0
852,9,2020-04-08,1,6.333333333333333,5.5,5.666666666666667,7.333333333333333,4.833333333333333,0.16666666666666666
865,9,2020-04-09,1,4.857142857142857,5.571428571428571,6.428571428571429,4.142857142857143,4.142857142857143,0.0
890,10,2020-04-08,1,5.0,8.5,9.5,0.0,3.5,0.0
892,10,2020-04-07,1,5.666666666666667,6.5,6.666666666666667,0.0,5.5,0.0
900,10,2020-04-06,1,1.0,7.0,7.0,0.0,7.0,0.0
917,10,2020-04-10,1,3.6666666666666665,6.0,6.5,0.0,4.833333333333333,0.0
998,11,2020-04-09,1,6.0,4.75,6.5,7.5,6.75,0.25
1004,11,2020-04-06,1,6.75,5.75,6.5,8.0,5.5,0.0
1013,11,2020-04-07,1,0.6666666666666666,4.0,3.3333333333333335,5.333333333333333,3.6666666666666665,0.0
1017,11,2020-04-08,1,8.0,8.6,3.4,5.6,5.6,0.2
1021,11,2020-04-10,1,5.0,9.0,5.5,6.0,7.5,0.0
1073,12,2020-04-06,1,5.25,8.75,5.75,0.0,6.5,0.0
1081,12,2020-04-07,1,6.333333333333333,8.333333333333334,4.333333333333333,0.0,6.333333333333333,0.0
1100,12,2020-04-08,1,4.0,6.25,5.25,0.0,8.25,0.25
1131,12,2020-04-09,1,7.75,6.5,6.75,0.0,3.75,0.25
1147,12,2020-04-10,1,5.0,4.5,6.5,0.0,3.25,2.25
1217,13,2020-04-08,1,6.75,7.25,4.0,0.0,3.25,0.25
1227,13,2020-04-10,1,5.0,3.5,5.25,0.0,5.75,0.0
1229,13,2020-04-07,1,2.5,0.5,7.0,0.0,1.0,0.0
1231,13,2020-04-09,1,1.5,5.0,2.5,0.0,7.0,0.0
1243,13,2020-04-06,1,5.666666666666667,6.666666666666667,7.666666666666667,0.0,6.333333333333333,0.0
1312,14,2020-04-08,1,5.833333333333333,5.166666666666667,4.333333333333333,0.0,6.333333333333333,0.0
1314,14,2020-04-10,1,5.666666666666667,4.5,8.166666666666666,0.0,3.3333333333333335,0.5
1344,14,2020-04-07,1,8.6,6.2,6.6,0.0,5.6,0.0
1376,14,2020-04-06,1,6.2,7.4,5.4,0.0,4.4,0.0
1384,14,2020-04-09,1,3.0,5.333333333333333,5.666666666666667,0.0,2.3333333333333335,0.3333333333333333
1410,15,2020-04-09,1,7.333333333333333,3.0,6.666666666666667,0.0,3.6666666666666665,0.0
1419,15,2020-04-08,1,6.0,6.5,4.916666666666667,0.0,6.583333333333333,0.08333333333333333
1474,15,2020-04-10,1,4.555555555555555,4.333333333333333,5.777777777777778,0.0,6.888888888888889,0.1111111111111111
1491,15,2020-04-07,1,6.363636363636363,4.545454545454546,5.545454545454546,0.0,4.636363636363637,0.18181818181818182
1503,15,2020-04-06,1,5.571428571428571,6.571428571428571,4.714285714285714,0.0,3.857142857142857,0.2857142857142857
1529,16,2020-04-10,1,4.0,6.666666666666667,4.833333333333333,4.0,4.833333333333333,0.0
1559,16,2020-04-09,1,5.666666666666667,1.6666666666666667,5.333333333333333,5.333333333333333,6.0,0.0
1606,16,2020-04-08,1,5.75,3.0,8.25,5.5,3.75,0.0
1609,16,2020-04-07,1,5.0,6.25,6.0,5.0,4.25,0.0
1619,16,2020-04-06,1,10.0,4.0,5.0,8.0,7.0,0.0
1630,17,2020-04-07,1,3.0,10.0,1.0,0.0,1.0,0.0
1631,17,2020-04-08,1,6.142857142857143,4.0,5.714285714285714,0.0,6.285714285714286,0.14285714285714285
1648,17,2020-04-09,1,1.75,7.5,6.5,0.0,3.5,0.0
1666,17,2020-04-10,1,7.666666666666667,8.0,4.333333333333333,0.0,4.666666666666667,0.0
1747,18,2020-04-09,1,5.8,6.2,4.4,0.0,6.0,0.0
1795,18,2020-04-06,1,4.25,6.5,8.0,0.0,7.0,0.0
1830,18,2020-04-07,1,6.0,2.5,7.5,0.0,5.5,0.0
1836,18,2020-04-08,1,4.666666666666667,8.0,7.333333333333333,2.6666666666666665,8.333333333333334,0.3333333333333333
1839,18,2020-04-10,1,7.0,9.0,0.0,0.0,0.0,0.0
1846,19,2020-04-07,1,4.75,4.25,4.25,0.0,2.75,0.0
1898,19,2020-04-06,1,8.0,7.0,2.0,0.0,5.0,0.0
1901,19,2020-04-08,1,6.166666666666667,4.333333333333333,5.666666666666667,0.0,4.166666666666667,0.3333333333333333
1908,19,2020-04-10,1,1.0,1.0,10.0,0.0,5.0,0.0
1950,19,2020-04-09,1,4.5,8.5,8.5,0.0,2.0,0.0
3,1,2020-04-08,2,5.333333333333333,3.6666666666666665,2.6666666666666665,7.333333333333333,7.333333333333333,0.0
15,1,2020-04-06,2,4.857142857142857,5.285714285714286,4.285714285714286,7.714285714285714,7.285714285714286,0.0
30,1,2020-04-09,2,4.0,5.0,4.8,7.6,5.0,0.2
50,1,2020-04-10,2,7.5,0.0,7.0,1.0,6.5,0.0
67,1,2020-04-07,2,4.0,5.5,3.75,4.5,4.75,0.0
141,2,2020-04-10,2,6.6,6.333333333333333,6.333333333333333,0.06666666666666667,6.066666666666666,0.06666666666666667
172,2,2020-04-09,2,5.222222222222222,4.111111111111111,6.222222222222222,1.0,6.777777777777778,0.0
182,2,2020-04-08,2,5.454545454545454,6.818181818181818,4.2727272727272725,0.0,6.636363636363637,0.0
216,2,2020-04-07,2,7.833333333333333,4.666666666666667,6.5,0.0,5.833333333333333,0.16666666666666666
222,2,2020-04-06,2,5.0,6.625,7.25,0.25,4.25,0.0
253,3,2020-04-09,2,6.4,6.5,4.8,6.0,5.4,0.0
270,3,2020-04-08,2,6.5,1.5,5.333333333333333,6.166666666666667,5.0,0.0
278,3,2020-04-06,2,6.333333333333333,3.3333333333333335,4.5,6.0,3.8333333333333335,0.0
319,3,2020-04-07,2,7.333333333333333,6.666666666666667,4.666666666666667,5.833333333333333,6.166666666666667,0.16666666666666666
327,4,2020-04-07,2,4.0,4.0,6.5,0.0,4.0,0.0
355,4,2020-04-08,2,6.0,3.0,1.3333333333333333,0.0,6.333333333333333,0.0
391,4,2020-04-06,2,8.333333333333334,8.666666666666666,6.0,0.0,6.666666666666667,0.0
431,5,2020-04-10,2,3.25,5.0,5.0,8.0,5.25,0.5
468,5,2020-04-08,2,4.5,4.25,1.75,7.25,5.25,0.0
493,5,2020-04-06,2,7.0,7.0,5.0,10.0,8.0,0.0
518,5,2020-04-09,2,9.0,5.5,0.5,6.5,0.5,0.0
523,5,2020-04-07,2,5.5,5.0,5.5,3.5,6.0,0.0
543,6,2020-04-08,2,3.6666666666666665,6.416666666666667,5.5,4.833333333333333,3.75,0.08333333333333333
552,6,2020-04-09,2,6.0,4.230769230769231,4.538461538461538,5.846153846153846,4.6923076923076925,0.07692307692307693
587,6,2020-04-06,2,5.916666666666667,5.916666666666667,4.5,4.166666666666667,7.916666666666667,0.08333333333333333
630,6,2020-04-07,2,5.909090909090909,4.909090909090909,6.454545454545454,4.363636363636363,6.363636363636363,0.0
649,6,2020-04-10,2,4.888888888888889,4.666666666666667,5.666666666666667,6.666666666666667,5.0,0.0
676,8,2020-04-10,2,8.805249788314987,8.734123624047417,9.469940728196443,0.08806096528365792,6.94411515664691,0.9254868755292125
677,8,2020-04-07,2,6.0,5.5,5.916666666666667,0.0,5.916666666666667,0.0
733,8,2020-04-06,2,5.3,5.7,5.9,0.0,6.3,0.2
751,8,2020-04-08,2,4.0,4.166666666666667,6.0,0.0,4.5,0.16666666666666666
794,9,2020-04-06,2,7.1,7.5,5.4,4.7,6.2,0.0
801,9,2020-04-07,2,4.833333333333333,5.5,3.5,7.666666666666667,4.0,0.0
809,9,2020-04-09,2,6.142857142857143,7.428571428571429,6.0,5.428571428571429,4.142857142857143,0.14285714285714285
847,9,2020-04-08,2,7.0,6.428571428571429,4.285714285714286,6.285714285714286,6.142857142857143,0.0
853,9,2020-04-10,2,7.666666666666667,3.8333333333333335,5.666666666666667,4.166666666666667,6.166666666666667,0.16666666666666666
909,10,2020-04-08,2,5.5,5.0,4.333333333333333,0.0,5.666666666666667,0.0
920,10,2020-04-07,2,5.5,9.0,4.0,0.0,5.0,0.0
935,10,2020-04-06,2,4.333333333333333,3.6666666666666665,4.666666666666667,0.0,6.666666666666667,0.0
965,11,2020-04-06,2,6.833333333333333,4.333333333333333,6.666666666666667,5.0,6.166666666666667,0.16666666666666666
980,11,2020-04-07,2,5.75,4.25,8.75,7.75,5.5,0.0
997,11,2020-04-08,2,1.0,6.0,5.0,3.0,10.0,0.0
1022,11,2020-04-10,2,1.3333333333333333,6.0,3.3333333333333335,2.6666666666666665,7.0,0.0
1063,11,2020-04-09,2,4.5,9.5,7.5,4.5,2.0,0.0
1071,12,2020-04-10,2,5.0,5.5,6.0,0.0,6.0,0.0
1089,12,2020-04-07,2,4.5,3.0,7.5,0.0,7.5,0.0
1104,12,2020-04-08,2,3.5,7.75,3.5,0.0,4.25,0.0
1113,12,2020-04-09,2,7.4,6.4,4.8,0.0,4.0,0.0
1121,12,2020-04-06,2,5.333333333333333,9.333333333333334,8.0,0.0,3.6666666666666665,0.3333333333333333
1184,13,2020-04-07,2,2.5,6.75,8.25,0.0,4.25,0.25
1201,13,2020-04-09,2,3.75,6.75,6.5,0.0,5.25,0.25
1205,13,2020-04-08,2,6.333333333333333,6.666666666666667,3.3333333333333335,0.0,8.333333333333334,0.0
1211,13,2020-04-06,2,9.0,7.0,10.0,0.0,0.0,0.0
1247,13,2020-04-10,2,1.0,1.0,1.0,0.0,2.0,0.0
1277,14,2020-04-08,2,7.714285714285714,4.428571428571429,3.5714285714285716,0.0,6.428571428571429,0.14285714285714285
1284,14,2020-04-07,2,7.5,9.0,4.75,0.0,6.0,0.0
1292,14,2020-04-06,2,4.666666666666667,6.666666666666667,7.0,0.0,2.0,0.0
1325,14,2020-04-09,2,7.6,6.8,8.0,0.0,7.8,0.2
1416,15,2020-04-08,2,8.75,6.0,7.0,0.0,4.25,0.0
1440,15,2020-04-06,2,3.5,3.5,6.4,0.0,7.6,0.0
1457,15,2020-04-10,2,5.0,3.7,7.8,0.0,6.0,0.1
1475,15,2020-04-07,2,5.066666666666666,5.733333333333333,4.933333333333334,0.0,5.333333333333333,0.0
1481,15,2020-04-09,2,6.7,3.8,4.4,0.0,5.6,0.1
1511,16,2020-04-09,2,8.0,5.5,8.5,7.0,4.5,0.25
1527,16,2020-04-08,2,4.0,5.75,4.0,6.0,4.75,0.25
1545,16,2020-04-06,2,10.0,5.0,6.5,5.0,9.5,0.0
1558,16,2020-04-10,2,4.333333333333333,5.5,6.833333333333333,7.0,6.5,0.0
1611,16,2020-04-07,2,6.25,7.0,6.75,5.75,5.5,0.0
1637,17,2020-04-09,2,3.25,4.5,3.25,0.0,4.75,0.0
1646,17,2020-04-07,2,7.5,4.0,2.5,0.0,7.5,0.0
1667,17,2020-04-10,2,3.0,1.6666666666666667,3.3333333333333335,0.0,5.0,0.0
1709,17,2020-04-08,2,0.0,8.0,7.0,0.0,0.0,0.0
1762,18,2020-04-08,2,3.5,5.25,7.0,0.0,6.0,0.0
1775,18,2020-04-10,2,6.2,5.6,5.8,0.0,4.8,0.2
1804,18,2020-04-09,2,8.0,9.5,6.0,0.0,7.5,0.0
1824,18,2020-04-06,2,10.0,10.0,5.0,0.0,0.0,0.0
1853,19,2020-04-10,2,2.0,2.5,5.5,0.0,6.5,1.5
1869,19,2020-04-07,2,4.8,5.4,6.0,0.0,3.8,0.0
1883,19,2020-04-06,2,7.8,5.6,5.6,0.0,4.0,0.0
1896,19,2020-04-09,2,3.6666666666666665,4.0,9.0,0.0,7.666666666666667,0.0
1942,19,2020-04-08,2,7.666666666666667,5.666666666666667,6.666666666666667,0.0,2.0,0.3333333333333333
16,1,2020-04-10,3,3.0,4.333333333333333,2.0,7.666666666666667,8.666666666666666,0.0
78,1,2020-04-08,3,6.0,5.5,5.75,7.25,5.0,0.0
90,1,2020-04-06,3,5.333333333333333,3.6666666666666665,6.0,7.0,7.0,0.0
95,1,2020-04-07,3,6.333333333333333,5.0,8.0,5.666666666666667,3.3333333333333335,0.3333333333333333
99,1,2020-04-09,3,8.0,6.5,4.5,3.5,3.5,0.0
156,2,2020-04-07,3,3.8,5.8,6.3,0.0,7.7,0.0
174,2,2020-04-06,3,5.666666666666667,3.0,5.666666666666667,0.0,6.583333333333333,0.16666666666666666
183,2,2020-04-08,3,6.111111111111111,7.0,6.222222222222222,0.0,5.111111111111111,0.0
220,2,2020-04-10,3,3.3333333333333335,5.0,5.0,0.0,6.166666666666667,0.0
223,2,2020-04-09,3,3.142857142857143,5.714285714285714,4.571428571428571,0.0,6.285714285714286,0.14285714285714285
292,3,2020-04-08,3,5.666666666666667,5.666666666666667,4.5,5.166666666666667,3.3333333333333335,0.0
298,3,2020-04-09,3,6.166666666666667,8.5,5.666666666666667,2.1666666666666665,4.666666666666667,0.0
313,3,2020-04-06,3,4.5,5.833333333333333,3.0,5.333333333333333,5.166666666666667,0.16666666666666666
315,3,2020-04-07,3,8.6,6.6,6.6,4.0,4.6,0.0
328,4,2020-04-07,3,0.5,3.0,5.5,0.0,7.0,0.0
339,4,2020-04-08,3,5.4,4.8,7.0,0.0,7.4,0.0
378,4,2020-04-09,3,6.0,6.75,5.5,0.0,6.25,0.0
382,4,2020-04-10,3,6.333333333333333,6.333333333333333,6.333333333333333,0.0,6.666666666666667,0.0
398,4,2020-04-06,3,3.0,1.0,1.0,0.0,2.0,0.0
442,5,2020-04-09,3,5.714285714285714,5.714285714285714,4.857142857142857,4.428571428571429,5.571428571428571,0.0
473,5,2020-04-10,3,6.5,4.166666666666667,4.166666666666667,4.166666666666667,3.8333333333333335,0.16666666666666666
488,5,2020-04-07,3,1.3333333333333333,3.6666666666666665,3.0,6.666666666666667,3.3333333333333335,0.0
491,5,2020-04-06,3,6.0,4.0,2.2,5.6,5.0,0.2
506,5,2020-04-08,3,3.5,10.0,5.0,5.5,4.5,0.0
536,6,2020-04-09,3,7.083333333333333,4.5,4.5,6.416666666666667,5.0,0.25
554,6,2020-04-08,3,5.071428571428571,6.785714285714286,5.785714285714286,4.714285714285714,4.5,0.21428571428571427
570,6,2020-04-07,3,4.636363636363637,6.7272727272727275,4.636363636363637,7.818181818181818,5.818181818181818,0.09090909090909091
576,6,2020-04-10,3,6.571428571428571,6.142857142857143,5.904761904761905,5.761904761904762,5.0,0.047619047619047616
578,6,2020-04-06,3,7.285714285714286,5.0,5.071428571428571,5.357142857142857,6.142857142857143,0.07142857142857142
711,8,2020-04-10,3,5.5,4.95,6.05,0.1,7.05,0.1
713,8,2020-04-07,3,7.0,4.888888888888889,6.222222222222222,0.0,5.777777777777778,0.1111111111111111
739,8,2020-04-06,3,4.090909090909091,4.7272727272727275,5.363636363636363,0.0,4.818181818181818,0.09090909090909091
757,8,2020-04-08,3,5.5,5.0,5.875,0.0,7.0,0.0
763,9,2020-04-06,3,5.666666666666667,6.333333333333333,5.0,6.5,8.0,0.0
773,9,2020-04-08,3,5.428571428571429,3.7142857142857144,5.0,7.857142857142857,5.142857142857143,0.14285714285714285
779,9,2020-04-07,3,5.357142857142857,7.285714285714286,5.285714285714286,4.214285714285714,5.357142857142857,0.07142857142857142
833,9,2020-04-10,3,7.0,6.3,6.0,4.3,5.7,0.2
858,9,2020-04-09,3,3.4,5.8,7.2,4.0,4.0,0.2
887,10,2020-04-10,3,5.0,5.333333333333333,4.333333333333333,0.0,5.666666666666667,0.0
891,10,2020-04-08,3,4.6,7.8,5.0,0.0,5.6,0.2
929,10,2020-04-07,3,4.25,6.75,4.0,0.0,3.75,0.0
939,10,2020-04-06,3,0.0,8.0,10.0,0.0,10.0,0.0
982,11,2020-04-06,3,3.0,1.0,8.0,3.0,3.0,0.0
983,11,2020-04-08,3,6.0,9.0,8.0,1.0,9.0,0.0
995,11,2020-04-07,3,6.0,2.0,6.0,4.666666666666667,5.0,0.0
1014,11,2020-04-10,3,1.0,6.0,2.0,3.0,7.0,0.0
1044,11,2020-04-09,3,2.0,4.0,10.0,7.0,0.0,0.0
1075,12,2020-04-07,3,7.25,6.5,4.75,0.0,7.0,0.0
1085,12,2020-04-10,3,4.75,3.5,5.25,0.0,4.25,1.25
1125,12,2020-04-08,3,10.0,0.5,4.0,0.0,6.5,0.0
1135,12,2020-04-06,3,3.5,7.0,7.5,0.0,4.0,0.0
1170,12,2020-04-09,3,6.0,1.0,4.0,0.0,5.0,0.0
1224,13,2020-04-10,3,3.3333333333333335,3.6666666666666665,7.0,0.0,5.666666666666667,0.0
1237,13,2020-04-08,3,9.5,4.0,6.0,0.0,9.0,0.0
1254,13,2020-04-07,3,1.3333333333333333,9.0,6.333333333333333,0.0,3.6666666666666665,0.0
1267,13,2020-04-09,3,8.0,5.0,8.5,0.0,1.0,0.0
